Date,GAMESTOP CORP. (XNYS:GME), Open , High ,Low,Close,Volume,% Change
1/4/2021,GME,19,19.1,17.15,17.25,10022500,-9.21
1/5/2021,GME,17.35,18.08,17.23,17.370001,4961500,0.12
1/6/2021,GME,17.34,18.98,17.33,18.360001,6056200,5.88
1/7/2021,GME,18.469999,19.450001,18.02,18.08,6129300,-2.11
1/8/2021,GME,18.18,18.299999,17.08,17.690001,6464500,-2.7
1/11/2021,GME,19.41,20.65,19.01,19.940001,14927600,2.73
1/12/2021,GME,19.959999,20.4,19.32,19.950001,7060700,-0.05
1/13/2021,GME,20.42,38.650002,20.030001,31.4,144501700,53.77
1/14/2021,GME,38.09,43.060001,33.049999,39.91,93717400,4.78
1/15/2021,GME,38.490002,40.75,34.009998,35.5,46752200,-7.77
1/19/2021,GME,41.549999,45.52,36.639999,39.360001,74721900,-5.27
1/20/2021,GME,37.369999,41.189999,36.060001,39.119999,33471800,4.68
1/21/2021,GME,39.23,44.75,37,43.029999,57079800,9.69
1/22/2021,GME,42.59,76.760002,42.32,65.010002,196784300,52.64
1/25/2021,GME,96.730003,159.179993,61.130001,76.790001,177874000,-20.61
2/25/2021,GME,88.559998,150,80.199997,147.979996,178588000,67.1
1/27/2021,GME,354.829987,380,249,347.51001,93396700,-2.06
1/28/2021,GME,265,483,112.25,193.6,"58,815,800",-26.94
1/29/2021,GME,379.709991,413.980011,250,325,50259200,-14.41
